claim_id,slide_number,claim,source_path,table_row_or_json_key,experiment_identity,data_scope,target_policy,evaluation_support,aggregation,comparator,status,limitation
C01,1,Each row is one UAV in one flight cycle with 28 anonymous telemetry channels,data/train.csv,columns telemetry_01..telemetry_28,raw competition data,raw training data,n/a,n/a,column count,none,verified,
C02,1,UAV_0019 has a complete life of 229 flight cycles,data/train.csv,max(flight_cycle) where uav_id=UAV_0019,raw competition data,raw training data,n/a,n/a,single UAV,none,verified,One illustrative UAV; not a fleet statistic
C03,1,At cutoff 148 that UAV has 81 cycles of remaining useful life,data/train.csv,"RUL at (UAV_0019, flight_cycle=148)",raw competition data,raw training data,raw RUL,n/a,single endpoint,none,verified,"Illustrative cutoff, not a sampled validation endpoint"
C04,1,148 cycles is the median observed test history length,data/test.csv,median of max(flight_cycle) per uav_id,raw competition data,test inputs (no labels),n/a,n/a,100 test UAVs,none,verified,
C05,2,Run 3 recorded public R2 0.54136 with XGBoost on the raw RUL target under the current scenarios,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv,submission_description=run_3,Phase 3 Run 3,"Kaggle public leaderboard, about 30% of the test set",raw fitting target,hidden test endpoints,single score,n/a,documented,"Transcribed from user-supplied screenshots, not a live lookup"
C06,2,Run 4 recorded public R2 0.84513 after adopting bounded scenarios and the cap at 125,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv; literature_and_planning/development_documentation/pipeline_experiments.md,submission_description=run_4; Locked Confirmation and Phase 3 Decision,Phase 3 Run 4,Kaggle public leaderboard,fitting cap 125,hidden test endpoints,single score,Run 3,documented,"A submission-to-submission difference, not an isolated ablation"
C07,2,Run 5 recorded public R2 0.86525 after the drift-pruned feature set and the calibrated 50/50 tree blend,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv; literature_and_planning/development_documentation/pipeline_experiments.md,submission_description=run_5; PE_3 section,Phase 3 Run 5,Kaggle public leaderboard,fitting cap 125,hidden test endpoints,single score,Run 4,documented,"A submission-to-submission difference, not an isolated ablation"
C08,2,Run 6 recorded public R2 0.86741 after conditional conservative calibration at q = 0.55,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv; literature_and_planning/development_documentation/pipeline_experiments.md,submission_description=run_6; PE_5 section,Phase 3 Run 6,Kaggle public leaderboard,fitting cap 125,hidden test endpoints,single score,Run 5,documented,"A submission-to-submission difference, not an isolated ablation"
C09,2,Run 7 recorded public R2 0.87652 after the cross-fitted residual correction,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv; literature_and_planning/development_documentation/pipeline_experiments.md,submission_description=run_7; Execution order section,Phase 3 Run 7,Kaggle public leaderboard,fitting cap 125,hidden test endpoints,single score,Run 6,documented,Best recorded public score; the private 70% is unknown
C10,2,"The four retained steps changed the public score by +0.30377, +0.02012, +0.00216 and +0.00911",literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv,successive differences of the recorded scores,derived quantity,Kaggle public leaderboard,fitting cap 125,hidden test endpoints,difference of single scores,previous submission,verified,"Differences between submissions, so a step can carry more than one change"
