figure,provenance,source,placed_on,note
correlation_heatmaps.png,"repository figure, unchanged",0_data_analysis/core_data_analysis/figures/feature_redundancy/correlation_heatmaps.png,not placed (available),Phase 0 core review: row- and UAV-level redundancy heatmaps
anomaly_summary.png,"repository figure, unchanged",0_data_analysis/core_data_analysis/figures/anomalies/anomaly_summary.png,not placed (available),"Phase 0 core review: extreme readings, jumps and persistent shifts"
grouped_permutation_importance.png,"repository figure, unchanged",0_data_analysis/model_guided_feature_analysis/runs/FE_run_1/current20/grouped_permutation_importance.png,not placed (available),FE_run_1 model-guided grouped permutation importance
representative_trajectories.png,"repository figure, unchanged",0_data_analysis/core_data_analysis/figures/representative_trajectories/representative_trajectories.png,not placed (available),Phase 0 core review: six representative UAV trajectories
r2_comparison.png,"repository figure, unchanged",2_architecture_experiments/2_model_architecture_study/runs/run_5/7_architecture_comparison/figures/r2_comparison.png,slide 13,"Locked architecture comparison, architecture study run 5"
hybrid_architecture_comparison.png,"repository figure, unchanged",2_architecture_experiments/2_model_architecture_study/runs/run_8/figures/hybrid_architecture_comparison.png,backup B6,"Hybrid study, architecture study run 8"
temporal_architecture_comparison.png,"repository figure, unchanged",2_architecture_experiments/2_model_architecture_study/runs/run_7/7_architecture_comparison/temporal_architecture_comparison.png,not placed (available),"Dedicated temporal study, architecture study run 7"
bagging_residual_comparison.png,"repository figure, unchanged",2_architecture_experiments/1_pipeline_experiments/experiments/PE_11/runs/run_1/figures/bagging_residual_comparison.png,slide 15,PE_11 bagging and residual correction
calibration_tradeoff.png,"repository figure, unchanged",2_architecture_experiments/1_pipeline_experiments/experiments/PE_4/runs/run_1/figures/calibration_tradeoff.png,slide 14,PE_4 conditional safety calibration trade-off
pe15_comparison.png,"repository figure, unchanged",2_architecture_experiments/1_pipeline_experiments/experiments/PE_15/runs/run_1/figures/comparison.png,backup B8,"PE_15 causal filtering and forecast history, screening"
pe20_comparison.png,"repository figure, unchanged",2_architecture_experiments/1_pipeline_experiments/experiments/PE_20/runs/run_1/figures/comparison.png,not placed (available),PE_20 complete nested refit of the forecast-history recipe
development_prediction_scatter.png,"repository figure, unchanged",3_final_model_training_and_inference/runs/run_7/7_post_run_reporting/figures/development_prediction_scatter.png,slide 16,Phase 3 Run 7 development out-of-fold prediction alignment
development_overprediction_diagnostics.png,"repository figure, unchanged",3_final_model_training_and_inference/runs/run_7/7_post_run_reporting/figures/development_overprediction_diagnostics.png,not placed (available),Phase 3 Run 7 development overprediction diagnostics
pe2_target_scenario_2x2_rmse_panel.png,"repository figure, cropped from y=0.462H",2_architecture_experiments/1_pipeline_experiments/experiments/PE_2/runs/run_1/figures/PE_target_scenario_2x2__reporting__paired_comparison.png,slide 12,Lower panel (paired RMSE improvement) of the generated PE_2 figure
pe2_signal_family_ablation_rmse_panel.png,"repository figure, cropped from y=0.462H",2_architecture_experiments/1_pipeline_experiments/experiments/PE_2/runs/run_1/figures/PE_signal_family_ablation__reporting__paired_comparison.png,not placed (available),Lower panel (paired RMSE improvement) of the generated PE_2 figure
constant_features.png,repository script re-run at slide size,0_data_analysis/broad_data_review/plot_constant_features.py,slide 3,Unique-value count and numeric range for all 28 channels. re-run table matches the repository table (largest numeric difference 0)
temporal_rul_summary_subset.png,repository script re-run at slide size,0_data_analysis/core_data_analysis/temporal_rul_analysis.py,slide 4,--channels restricted to the ten degradation candidates plus telemetry_18 and telemetry_26. re-run table matches the repository table (largest numeric difference 8.43769e-15)
within_between_variance.png,repository script re-run at slide size,0_data_analysis/broad_data_review/plot_within_between_variance.py,slide 5,"Within-UAV and between-UAV variance shares, all 28 channels. re-run table matches the repository table (largest numeric difference 0)"
train_test_drift.png,repository script re-run at slide size,0_data_analysis/core_data_analysis/train_test_drift.py,slide 6,"Row-level, UAV-level and age-matched train/test drift. re-run table matches the repository table (largest numeric difference 0)"
channel_classification.png,repository script re-run at slide size,0_data_analysis/core_data_analysis/channel_classification.py,slide 7,Screening matrix for all 28 channels against the documented thresholds. re-run table matches the repository table (largest numeric difference 0)
history_length_distributions.png,repository script re-run at slide size,0_data_analysis/broad_data_review/plot_history_length_distributions.py,slide 9,Train and test per-UAV history lengths. re-run table matches the repository table (largest numeric difference 0)
prediction_timeline.png,generated for the talk,data/train.csv,slide 1,Repository Phase 0 palette and axis styling; no repository figure shows the prediction cutoff
public_score_chain.png,generated for the talk,literature_and_planning/development_documentation/r2_research_2026_09_07/kaggle_scores.csv,slide 2,Repository Phase 0 palette; decisions from pipeline_experiments.md
cycle_only_baseline.png,generated for the talk,"1_dataset_construction/9_cycle_only_baseline/artifacts/{full_training_coefficients.json, metrics/*} and 4_training_prefixes/artifacts/training_prefixes.csv",slide 11,Repository Phase 0 palette; Phase 1 records the baseline's coefficients and metrics but stores no figure
development_versus_public.png,generated for the talk,3_final_model_training_and_inference/runs/run_6|run_7/7_post_run_reporting/report_summary.json; kaggle_scores.csv,backup B9,Repository Phase 0 palette; the two scopes are never joined
